"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 21 07:17:56 GMT 2024","Mon Oct 21 07:17:56 GMT 2024","983","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsSortedByStartTimestampTest","verifyProgramsSortedByStartTimestampTest(int) [2] channelId=1585681",""
"passed","Mon Oct 21 07:17:59 GMT 2024","Mon Oct 21 07:18:00 GMT 2024","962","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsReturnedOnlyForNext24HoursTest","verifyProgramsReturnedOnlyForNext24HoursTest(int) [1] channelId=1639111",""
"passed","Mon Oct 21 07:18:01 GMT 2024","Mon Oct 21 07:18:01 GMT 2024","985","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsReturnedOnlyForNext24HoursTest","verifyProgramsReturnedOnlyForNext24HoursTest(int) [3] channelId=1639231",""
"passed","Mon Oct 21 07:18:01 GMT 2024","Mon Oct 21 07:18:02 GMT 2024","959","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyZeroPastProgramsDisplayedTest","verifyZeroPastProgramsDisplayedTest(int) [1] channelId=1639111",""
"passed","Mon Oct 21 07:17:54 GMT 2024","Mon Oct 21 07:17:55 GMT 2024","1053","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsSortedByStartTimestampTest","verifyProgramsSortedByStartTimestampTest(int) [1] channelId=1639111",""
"passed","Mon Oct 21 07:18:02 GMT 2024","Mon Oct 21 07:18:03 GMT 2024","978","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyZeroPastProgramsDisplayedTest","verifyZeroPastProgramsDisplayedTest(int) [2] channelId=1585681",""
"passed","Mon Oct 21 07:17:57 GMT 2024","Mon Oct 21 07:17:59 GMT 2024","1058","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyAbilityToRetrieveChannelsByVideoIdsTest","verifyAbilityToRetrieveChannelsByVideoIdsTest()",""
"passed","Mon Oct 21 07:18:00 GMT 2024","Mon Oct 21 07:18:01 GMT 2024","974","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsReturnedOnlyForNext24HoursTest","verifyProgramsReturnedOnlyForNext24HoursTest(int) [2] channelId=1585681",""
"passed","Mon Oct 21 07:17:48 GMT 2024","Mon Oct 21 07:17:52 GMT 2024","3971","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramExistForCurrentTimeTest","verifyProgramExistForCurrentTimeTest(int) [1] channelId=1639111",""
"failed","Mon Oct 21 07:18:04 GMT 2024","Mon Oct 21 07:18:05 GMT 2024","996","","com.task.RetrieveCurrentUserTimeTest","","com.task.RetrieveCurrentUserTimeTest","verifyAbilityToRetrieveCurrentUserTimeTest","verifyAbilityToRetrieveCurrentUserTimeTest()",""
"passed","Mon Oct 21 07:17:56 GMT 2024","Mon Oct 21 07:17:57 GMT 2024","1006","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsSortedByStartTimestampTest","verifyProgramsSortedByStartTimestampTest(int) [3] channelId=1639231",""
"passed","Mon Oct 21 07:17:53 GMT 2024","Mon Oct 21 07:17:54 GMT 2024","1052","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramExistForCurrentTimeTest","verifyProgramExistForCurrentTimeTest(int) [3] channelId=1639231",""
"passed","Mon Oct 21 07:18:03 GMT 2024","Mon Oct 21 07:18:04 GMT 2024","967","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyZeroPastProgramsDisplayedTest","verifyZeroPastProgramsDisplayedTest(int) [3] channelId=1639231",""
"passed","Mon Oct 21 07:17:52 GMT 2024","Mon Oct 21 07:17:53 GMT 2024","1052","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramExistForCurrentTimeTest","verifyProgramExistForCurrentTimeTest(int) [2] channelId=1585681",""
