"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 21 07:12:59 GMT 2024","Mon Oct 21 07:13:00 GMT 2024","822","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramExistForCurrentTimeTest","verifyProgramExistForCurrentTimeTest(int) [3] channelId=1639231",""
"failed","Mon Oct 21 07:13:08 GMT 2024","Mon Oct 21 07:13:09 GMT 2024","750","","com.task.RetrieveCurrentUserTimeTest","","com.task.RetrieveCurrentUserTimeTest","verifyAbilityToRetrieveCurrentUserTimeTest","verifyAbilityToRetrieveCurrentUserTimeTest()",""
"passed","Mon Oct 21 07:13:05 GMT 2024","Mon Oct 21 07:13:06 GMT 2024","770","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsReturnedOnlyForNext24HoursTest","verifyProgramsReturnedOnlyForNext24HoursTest(int) [3] channelId=1639231",""
"passed","Mon Oct 21 07:13:04 GMT 2024","Mon Oct 21 07:13:05 GMT 2024","716","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsReturnedOnlyForNext24HoursTest","verifyProgramsReturnedOnlyForNext24HoursTest(int) [2] channelId=1585681",""
"passed","Mon Oct 21 07:13:00 GMT 2024","Mon Oct 21 07:13:01 GMT 2024","808","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsSortedByStartTimestampTest","verifyProgramsSortedByStartTimestampTest(int) [1] channelId=1639111",""
"passed","Mon Oct 21 07:13:03 GMT 2024","Mon Oct 21 07:13:04 GMT 2024","791","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsReturnedOnlyForNext24HoursTest","verifyProgramsReturnedOnlyForNext24HoursTest(int) [1] channelId=1639111",""
"passed","Mon Oct 21 07:13:03 GMT 2024","Mon Oct 21 07:13:03 GMT 2024","829","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyAbilityToRetrieveChannelsByVideoIdsTest","verifyAbilityToRetrieveChannelsByVideoIdsTest()",""
"passed","Mon Oct 21 07:13:01 GMT 2024","Mon Oct 21 07:13:02 GMT 2024","761","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsSortedByStartTimestampTest","verifyProgramsSortedByStartTimestampTest(int) [2] channelId=1585681",""
"passed","Mon Oct 21 07:13:02 GMT 2024","Mon Oct 21 07:13:03 GMT 2024","820","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsSortedByStartTimestampTest","verifyProgramsSortedByStartTimestampTest(int) [3] channelId=1639231",""
"passed","Mon Oct 21 07:12:55 GMT 2024","Mon Oct 21 07:12:58 GMT 2024","3571","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramExistForCurrentTimeTest","verifyProgramExistForCurrentTimeTest(int) [1] channelId=1639111",""
"passed","Mon Oct 21 07:13:06 GMT 2024","Mon Oct 21 07:13:06 GMT 2024","729","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyZeroPastProgramsDisplayedTest","verifyZeroPastProgramsDisplayedTest(int) [1] channelId=1639111",""
"passed","Mon Oct 21 07:13:07 GMT 2024","Mon Oct 21 07:13:08 GMT 2024","719","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyZeroPastProgramsDisplayedTest","verifyZeroPastProgramsDisplayedTest(int) [3] channelId=1639231",""
"passed","Mon Oct 21 07:13:06 GMT 2024","Mon Oct 21 07:13:07 GMT 2024","726","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyZeroPastProgramsDisplayedTest","verifyZeroPastProgramsDisplayedTest(int) [2] channelId=1585681",""
"passed","Mon Oct 21 07:12:58 GMT 2024","Mon Oct 21 07:12:59 GMT 2024","889","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramExistForCurrentTimeTest","verifyProgramExistForCurrentTimeTest(int) [2] channelId=1585681",""
