"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 20 21:49:10 GMT 2024","Sun Oct 20 21:49:11 GMT 2024","857","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramExistForCurrentTimeTest","verifyProgramExistForCurrentTimeTest(int) [3] channelId=1639231",""
"passed","Sun Oct 20 21:49:12 GMT 2024","Sun Oct 20 21:49:12 GMT 2024","841","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsSortedByStartTimestampTest","verifyProgramsSortedByStartTimestampTest(int) [2] channelId=1585681",""
"passed","Sun Oct 20 21:49:18 GMT 2024","Sun Oct 20 21:49:18 GMT 2024","726","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyZeroPastProgramsDisplayedTest","verifyZeroPastProgramsDisplayedTest(int) [3] channelId=1639231",""
"passed","Sun Oct 20 21:49:14 GMT 2024","Sun Oct 20 21:49:15 GMT 2024","749","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsReturnedOnlyForNext24HoursTest","verifyProgramsReturnedOnlyForNext24HoursTest(int) [1] channelId=1639111",""
"passed","Sun Oct 20 21:49:16 GMT 2024","Sun Oct 20 21:49:16 GMT 2024","730","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsReturnedOnlyForNext24HoursTest","verifyProgramsReturnedOnlyForNext24HoursTest(int) [3] channelId=1639231",""
"failed","Sun Oct 20 21:49:18 GMT 2024","Sun Oct 20 21:49:19 GMT 2024","753","","com.task.RetrieveCurrentUserTimeTest","","com.task.RetrieveCurrentUserTimeTest","verifyAbilityToRetrieveCurrentUserTimeTest","verifyAbilityToRetrieveCurrentUserTimeTest()",""
"passed","Sun Oct 20 21:49:05 GMT 2024","Sun Oct 20 21:49:09 GMT 2024","3775","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramExistForCurrentTimeTest","verifyProgramExistForCurrentTimeTest(int) [1] channelId=1639111",""
"passed","Sun Oct 20 21:49:16 GMT 2024","Sun Oct 20 21:49:17 GMT 2024","719","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyZeroPastProgramsDisplayedTest","verifyZeroPastProgramsDisplayedTest(int) [1] channelId=1639111",""
"passed","Sun Oct 20 21:49:17 GMT 2024","Sun Oct 20 21:49:18 GMT 2024","722","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyZeroPastProgramsDisplayedTest","verifyZeroPastProgramsDisplayedTest(int) [2] channelId=1585681",""
"passed","Sun Oct 20 21:49:09 GMT 2024","Sun Oct 20 21:49:10 GMT 2024","833","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramExistForCurrentTimeTest","verifyProgramExistForCurrentTimeTest(int) [2] channelId=1585681",""
"passed","Sun Oct 20 21:49:13 GMT 2024","Sun Oct 20 21:49:14 GMT 2024","758","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyAbilityToRetrieveChannelsByVideoIdsTest","verifyAbilityToRetrieveChannelsByVideoIdsTest()",""
"passed","Sun Oct 20 21:49:11 GMT 2024","Sun Oct 20 21:49:12 GMT 2024","834","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsSortedByStartTimestampTest","verifyProgramsSortedByStartTimestampTest(int) [1] channelId=1639111",""
"passed","Sun Oct 20 21:49:12 GMT 2024","Sun Oct 20 21:49:13 GMT 2024","769","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsSortedByStartTimestampTest","verifyProgramsSortedByStartTimestampTest(int) [3] channelId=1639231",""
"passed","Sun Oct 20 21:49:15 GMT 2024","Sun Oct 20 21:49:16 GMT 2024","728","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsReturnedOnlyForNext24HoursTest","verifyProgramsReturnedOnlyForNext24HoursTest(int) [2] channelId=1585681",""
