"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 21 14:26:29 GMT 2024","Mon Oct 21 14:26:33 GMT 2024","3527","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramExistForCurrentTimeTest","verifyProgramExistForCurrentTimeTest(int) [1] channelId=1639111",""
"passed","Mon Oct 21 14:26:39 GMT 2024","Mon Oct 21 14:26:39 GMT 2024","733","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsReturnedOnlyForNext24HoursTest","verifyProgramsReturnedOnlyForNext24HoursTest(int) [2] channelId=1585681",""
"passed","Mon Oct 21 14:26:36 GMT 2024","Mon Oct 21 14:26:37 GMT 2024","765","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsSortedByStartTimestampTest","verifyProgramsSortedByStartTimestampTest(int) [3] channelId=1639231",""
"passed","Mon Oct 21 14:26:39 GMT 2024","Mon Oct 21 14:26:40 GMT 2024","737","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsReturnedOnlyForNext24HoursTest","verifyProgramsReturnedOnlyForNext24HoursTest(int) [3] channelId=1639231",""
"failed","Mon Oct 21 14:26:43 GMT 2024","Mon Oct 21 14:26:44 GMT 2024","764","","com.task.RetrieveCurrentUserTimeTest","","com.task.RetrieveCurrentUserTimeTest","verifyAbilityToRetrieveCurrentUserTimeTest","verifyAbilityToRetrieveCurrentUserTimeTest()",""
"passed","Mon Oct 21 14:26:34 GMT 2024","Mon Oct 21 14:26:35 GMT 2024","775","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramExistForCurrentTimeTest","verifyProgramExistForCurrentTimeTest(int) [3] channelId=1639231",""
"passed","Mon Oct 21 14:26:40 GMT 2024","Mon Oct 21 14:26:41 GMT 2024","746","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyZeroPastProgramsDisplayedTest","verifyZeroPastProgramsDisplayedTest(int) [1] channelId=1639111",""
"passed","Mon Oct 21 14:26:35 GMT 2024","Mon Oct 21 14:26:36 GMT 2024","741","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsSortedByStartTimestampTest","verifyProgramsSortedByStartTimestampTest(int) [2] channelId=1585681",""
"passed","Mon Oct 21 14:26:41 GMT 2024","Mon Oct 21 14:26:42 GMT 2024","1718","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyZeroPastProgramsDisplayedTest","verifyZeroPastProgramsDisplayedTest(int) [2] channelId=1585681",""
"passed","Mon Oct 21 14:26:35 GMT 2024","Mon Oct 21 14:26:35 GMT 2024","864","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsSortedByStartTimestampTest","verifyProgramsSortedByStartTimestampTest(int) [1] channelId=1639111",""
"passed","Mon Oct 21 14:26:37 GMT 2024","Mon Oct 21 14:26:38 GMT 2024","794","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyAbilityToRetrieveChannelsByVideoIdsTest","verifyAbilityToRetrieveChannelsByVideoIdsTest()",""
"passed","Mon Oct 21 14:26:38 GMT 2024","Mon Oct 21 14:26:39 GMT 2024","733","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsReturnedOnlyForNext24HoursTest","verifyProgramsReturnedOnlyForNext24HoursTest(int) [1] channelId=1639111",""
"passed","Mon Oct 21 14:26:42 GMT 2024","Mon Oct 21 14:26:43 GMT 2024","725","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyZeroPastProgramsDisplayedTest","verifyZeroPastProgramsDisplayedTest(int) [3] channelId=1639231",""
"passed","Mon Oct 21 14:26:33 GMT 2024","Mon Oct 21 14:26:34 GMT 2024","833","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramExistForCurrentTimeTest","verifyProgramExistForCurrentTimeTest(int) [2] channelId=1585681",""
