"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 21 12:18:07 GMT 2024","Mon Oct 21 12:18:08 GMT 2024","781","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsReturnedOnlyForNext24HoursTest","verifyProgramsReturnedOnlyForNext24HoursTest(int) [1] channelId=1639111",""
"passed","Mon Oct 21 12:18:12 GMT 2024","Mon Oct 21 12:18:12 GMT 2024","711","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyZeroPastProgramsDisplayedTest","verifyZeroPastProgramsDisplayedTest(int) [3] channelId=1639231",""
"passed","Mon Oct 21 12:18:11 GMT 2024","Mon Oct 21 12:18:12 GMT 2024","734","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyZeroPastProgramsDisplayedTest","verifyZeroPastProgramsDisplayedTest(int) [2] channelId=1585681",""
"passed","Mon Oct 21 12:18:04 GMT 2024","Mon Oct 21 12:18:05 GMT 2024","778","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsSortedByStartTimestampTest","verifyProgramsSortedByStartTimestampTest(int) [1] channelId=1639111",""
"passed","Mon Oct 21 12:18:05 GMT 2024","Mon Oct 21 12:18:05 GMT 2024","758","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsSortedByStartTimestampTest","verifyProgramsSortedByStartTimestampTest(int) [2] channelId=1585681",""
"passed","Mon Oct 21 12:18:08 GMT 2024","Mon Oct 21 12:18:10 GMT 2024","1747","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsReturnedOnlyForNext24HoursTest","verifyProgramsReturnedOnlyForNext24HoursTest(int) [2] channelId=1585681",""
"passed","Mon Oct 21 12:17:58 GMT 2024","Mon Oct 21 12:18:02 GMT 2024","4053","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramExistForCurrentTimeTest","verifyProgramExistForCurrentTimeTest(int) [1] channelId=1639111",""
"passed","Mon Oct 21 12:18:10 GMT 2024","Mon Oct 21 12:18:10 GMT 2024","723","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsReturnedOnlyForNext24HoursTest","verifyProgramsReturnedOnlyForNext24HoursTest(int) [3] channelId=1639231",""
"failed","Mon Oct 21 12:18:12 GMT 2024","Mon Oct 21 12:18:13 GMT 2024","755","","com.task.RetrieveCurrentUserTimeTest","","com.task.RetrieveCurrentUserTimeTest","verifyAbilityToRetrieveCurrentUserTimeTest","verifyAbilityToRetrieveCurrentUserTimeTest()",""
"passed","Mon Oct 21 12:18:06 GMT 2024","Mon Oct 21 12:18:07 GMT 2024","801","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyAbilityToRetrieveChannelsByVideoIdsTest","verifyAbilityToRetrieveChannelsByVideoIdsTest()",""
"passed","Mon Oct 21 12:18:10 GMT 2024","Mon Oct 21 12:18:11 GMT 2024","715","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyZeroPastProgramsDisplayedTest","verifyZeroPastProgramsDisplayedTest(int) [1] channelId=1639111",""
"passed","Mon Oct 21 12:18:02 GMT 2024","Mon Oct 21 12:18:03 GMT 2024","867","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramExistForCurrentTimeTest","verifyProgramExistForCurrentTimeTest(int) [2] channelId=1585681",""
"passed","Mon Oct 21 12:18:03 GMT 2024","Mon Oct 21 12:18:04 GMT 2024","879","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramExistForCurrentTimeTest","verifyProgramExistForCurrentTimeTest(int) [3] channelId=1639231",""
"passed","Mon Oct 21 12:18:05 GMT 2024","Mon Oct 21 12:18:06 GMT 2024","776","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsSortedByStartTimestampTest","verifyProgramsSortedByStartTimestampTest(int) [3] channelId=1639231",""
